campaign_id,reward_id
2,1051
14,1449
14,566
40,1464
140,1369
137,1587
147,1430
5,250
204,1784
175,1733
175,1754
36,1124
599,1817
731,2385
402,1401
402,1249
177,2445
177,2422
177,1792
177,1730
177,2426
896,1648
10,2462
830,3139
1492,4057
1492,4051
1492,4048
1426,4015
1854,1682
467,1249
1952,5331
1952,3930
2249,5255
4,561
4,1698
2348,5047
2352,5091
1721,4460
1721,4457
1721,4456
996,3796
2117,5525
2118,5480
1259,2542
1259,1618
2678,3221
2713,949
2811,6468
2878,916
1160,5857
439,2109
439,2114
439,1760
42,1365
42,4534
42,1678
2150,7130
2217,6336
1425,7136
438,2148
104,7358
104,7366
104,2564
31,3161
31,2410
31,7472
1128,7140
1128,5331
1128,4658
43,1417
43,1335
43,1182
43,2099
11,7522
11,5656
11,3136
11,4516
2480,7193
2480,7460
11,3828
11,5655
11,3713
11,5335
11,3201
1128,7329
1128,5844
2480,7171
2480,1339
2480,7475
2480,7463
2480,5890
3404,7151
2480,7171
2480,1352
2480,5884
2480,7465
2480,7456
2480,5885
2480,5878
2480,7171
31,4525
31,3163
401,8011
1490,5838
1127,3930
438,3178
438,5284
3503,6472
2217,5825
2217,5414
2480,7460
2480,7193
2480,7093
31,3163
2480,7870
2480,7879
2480,7854
2480,7852
2480,7857
2480,7856
2480,7861
3503,6472
3503,4354
1127,4222
1127,4597
1127,3927
1128,8040
1128,7146
1128,7143
1128,4540
3503,6472
11,2542
11,3871
11,5519
11,3931
11,3761
11,3179
11,3860
11,7522
11,6697
11,5511
11,5656
3569,8103
2051,8911
2051,8909
2,1053
34,1154
78,1528
78,1556
138,1335
145,1405
204,1786
176,1796
533,856
500,2219
500,2314
8,1230
402,1039
402,2103
177,2458
177,2140
177,2148
177,2157
896,1647
898,1655
10,1468
830,3156
1492,4053
1492,4044
1722,4509
2183,5310
1952,5333
1952,3932
4,5489
2118,5524
2118,5422
2580,6007
1259,3812
2613,984
2579,5541
1754,5309
2876,1028
1490,5838
1160,5305
439,4919
42,1656
42,1590
42,7151
42,2389
1358,5250
32,3145
2744,6865
104,7333
31,4521
31,4523
31,4525
31,2409
31,2408
31,3700
31,1139
1128,5289
1127,4948
1127,4597
43,7364
43,5877
43,3925
43,2135
43,1205
11,7144
11,5530
11,3865
11,5544
11,2086
11,2421
2480,5887
2480,5888
11,4123
1127,6930
2480,7225
2480,7168
2480,1381
2480,7465
2480,7461
2480,5885
3404,6996
2480,7463
2480,5888
2480,7474
2480,5880
2480,7787
2480,7786
2480,7169
2480,1339
3404,7151
3404,6961
31,5808
31,4519
31,4521
31,2412
31,3160
270,2393
270,2388
401,2113
401,2112
1754,7995
1754,4469
1788,7137
1127,4948
1128,3799
438,2151
3503,4354
32,5872
32,4014
32,2115
32,4528
2480,7475
2480,1352
31,7986
31,5808
31,5809
31,4521
31,3164
3503,8031
3503,6928
2480,7867
2480,7867
2480,7857
2480,7876
3503,1176
1788,8032
1788,6897
1127,7148
1127,7473
1127,3196
1128,5513
3503,8030
3503,5248
11,1037
11,7138
11,6832
11,4516
11,2443
11,3143
11,5657
11,5652
3602,1022
3602,5644
14,931
78,1569
144,1387
203,1586
236,1804
175,1685
175,1687
175,1762
302,2048
36,1879
533,2178
732,1648
8,1410
402,1360
402,1418
402,1417
402,986
177,2443
177,2381
177,2147
177,2149
177,1791
177,1696
929,2939
929,2938
765,3926
1492,4028
1492,4025
1492,4006
1655,898
1821,4661
1558,4017
1559,4189
269,1791
1721,4467
1391,3872
1789,4497
2117,1215
2118,5678
2118,5250
2612,927
2614,5113
2581,5538
2381,5874
1754,4469
2909,6885
1061,6890
439,929
439,949
439,5091
439,6904
439,5417
439,1508
439,3149
42,6898
42,5832
2480,5885
2480,5882
2150,5424
2217,5524
270,2390
32,3727
32,4014
32,2115
32,1800
2744,6872
438,5346
438,2150
401,3136
3206,6535
104,7331
3272,2806
1128,60
1128,5844
1128,3198
3074,7027
43,2546
43,1722
11,1037
11,5652
2480,7166
2480,7459
11,936
3404,7151
3404,7164
3404,7760
3404,7151
3404,6961
2480,7193
2480,7194
2480,5885
2480,7475
31,3161
31,3696
31,1139
31,2414
270,5652
270,4515
1754,5676
1754,4470
2909,6885
438,2148
438,2147
3503,8031
3503,3171
32,8037
32,7163
32,2134
2217,7128
2217,5417
2480,7194
31,7467
3503,3171
2480,7867
2480,7869
2480,7877
2480,7878
2480,7873
2480,7856
3503,1176
1160,5303
1127,7473
1128,60
1128,5651
11,2440
11,5845
11,956
11,3834
11,4010
11,2539
11,3183
3668,8253
35,1130
14,1254
14,588
14,1307
78,1563
78,1557
138,1336
141,1371
146,1168
204,1785
176,1665
175,1682
175,1686
302,2047
302,2045
402,984
177,2461
177,1812
896,1646
997,3240
1492,4032
1424,4011
467,4653
1952,5334
1952,5327
2249,5247
2249,5253
2249,5266
4,249
1721,4454
1391,5654
1985,1381
996,2540
2117,5529
2117,5534
2118,5482
2118,5410
2118,4505
2810,6730
2051,7060
1160,6929
1160,3269
1061,6891
439,5525
439,5049
439,2245
42,1399
42,5483
42,3143
2480,7169
2150,7129
2150,5324
270,5653
32,2517
32,5312
1788,4489
401,4090
104,7363
3305,2806
31,4522
31,2412
31,3704
31,3158
31,1138
31,1150
31,1262
1128,4949
1127,5327
11,1629
11,3143
11,3928
2480,7171
2480,7226
11,7138
11,1631
11,3932
11,5516
11,2086
1127,4222
1127,5330
1128,5651
1128,3799
2480,1441
2480,1182
2480,1182
2480,7475
2480,7459
2480,5891
2480,7171
2480,7168
2480,1344
2480,1182
2480,7477
2480,5882
2480,5884
2480,7194
31,7472
31,5807
401,7339
1490,3716
1754,5675
1788,5283
32,3711
2217,5416
31,2409
31,2412
31,3697
3503,8029
2480,7868
2480,7872
2480,7871
2480,7953
3503,1177
3503,5248
3503,3171
1160,7152
1127,61
1127,6930
1127,4597
1128,4658
11,4288
11,2086
11,3930
11,7621
11,7141
11,6889
11,3931
270,8091
3668,8281
3734,8085
35,1129
14,1419
14,1385
141,1373
147,1431
204,1789
175,1729
175,1744
175,1747
175,1757
175,1761
533,2218
533,1433
500,2375
402,1389
402,2104
177,2740
177,2382
177,2142
830,2912
830,2907
1492,3998
1492,4054
1492,4052
764,4123
1722,4506
1853,4358
1193,5083
1589,4468
368,5322
2249,5248
2249,5264
2282,5443
2351,5051
2353,5098
1391,4590
1789,5486
1789,5287
2118,5412
1259,3815
2679,1037
2777,5842
1754,5675
2877,1024
1061,3213
439,3865
439,3268
439,4503
2480,7171
2480,1441
2480,5887
2217,7127
2217,5825
2217,5415
1425,5528
104,7365
31,3159
31,1148
1128,5651
1127,4222
1127,5330
3174,6730
3372,7391
43,1358
43,2539
11,6889
11,6471
11,3828
11,2539
11,3761
3372,7390
2480,7094
2480,7258
2480,1344
2480,1182
2480,5880
2480,7466
11,3136
11,3927
11,5511
1127,5843
1128,5818
2480,7170
2480,5892
3404,6996
3404,7132
2480,7466
2480,5878
2480,5877
2480,7170
2480,7475
2480,7459
2480,5888
3404,7760
1061,5656
1490,6898
1754,6830
1754,5309
2909,7998
1788,8022
1788,5820
1127,60
1127,4658
1127,3196
1128,5334
3503,8029
1788,5283
1788,5854
32,5307
2217,8035
2217,5480
2480,7476
2480,7489
2480,7171
2480,5880
2480,7863
2480,7858
2480,7853
31,3704
31,3701
31,1150
2480,7873
2480,7872
2480,7877
2480,7863
2480,7881
1160,5857
1160,4502
1127,3930
1127,5333
11,7147
11,2550
11,6832
11,5530
11,5656
11,7150
11,5516
11,7326
3569,8104
3569,8098
3569,8122
270,8090
11,8249
3668,8452
34,1136
35,1131
14,559
14,561
14,124
78,1560
176,1799
176,1794
36,1076
403,2191
403,2163
533,2121
533,2118
8,2144
8,1718
402,1182
177,2419
177,2161
1427,4019
1492,4031
1492,4007
1492,3993
1424,4012
1655,4224
1722,4508
1193,5081
368,2094
2351,5053
1688,4428
2117,4981
2117,5609
2414,5864
1259,4014
2613,985
1754,4470
1490,6899
2051,6631
2051,7061
1160,3721
1061,5657
439,910
439,1344
439,2193
1358,7160
1358,3832
2217,5416
32,4528
1788,6897
1788,5855
104,7364
104,2571
104,2572
31,3162
1128,5334
1127,61
43,1363
11,3179
11,3217
11,5657
11,3929
11,2443
2480,1339
2480,7461
11,6832
11,6889
11,3179
1128,5289
3372,7390
2480,7193
3404,7760
3404,7151
3404,7164
2480,7169
2480,7166
2480,1339
2480,7464
2480,5885
2480,7167
2480,1441
2480,1441
31,7991
31,7470
31,4520
31,5806
1788,5821
1128,7146
1128,5331
438,6994
1788,8023
1788,5821
32,1189
2217,6337
2480,7466
2480,7463
2480,7094
2480,5892
31,5811
3503,1177
2480,7871
2480,7853
2480,7855
2480,7868
2480,7880
2480,7954
3503,5248
1127,7145
1127,7330
1127,5330
1127,7145
1127,3927
11,6895
11,5509
11,1396
11,4157
11,4156
11,5516
11,7326
11,5511
11,936
11,2424
1391,8087
3569,8120
3602,3234
3668,8255
14,1454
14,68
79,1550
236,1808
175,1683
175,1746
175,1751
175,1752
175,1763
36,1582
403,2164
403,2182
599,1813
533,2153
533,1166
402,2099
177,2150
3,1696
830,2940
1492,4027
1492,4000
1655,1386
1952,5329
2216,5491
1721,4882
1985,1339
996,3236
2118,5413
2118,5418
2118,5246
1787,5265
1259,3817
2381,5875
2714,936
439,3221
439,5415
439,2112
439,1403
42,1364
42,5889
42,5816
2150,5314
270,3705
32,7163
438,2152
401,3809
104,7334
104,7357
104,2524
31,5807
31,5810
31,2413
31,1145
1127,5817
43,1362
43,5425
43,932
11,7150
11,5517
11,5332
11,2450
11,4158
2480,1363
2480,5892
2480,7463
11,2450
11,3144
11,5517
1127,7473
1128,60
1128,3931
3372,7458
2480,7489
2480,5891
2480,5886
2480,5892
2480,5877
2480,5894
2480,7463
2480,7167
1061,5326
31,7471
31,5813
31,5811
31,1147
270,4513
270,1727
270,5318
401,2443
3140,7153
1788,7132
1788,7133
1788,5281
1788,5280
1788,5971
1128,61
1128,7149
1128,5651
3503,8028
2480,7461
2480,7464
2480,7456
2480,7291
31,3158
31,1139
31,1146
31,1144
2480,7878
2480,7864
2480,7877
2480,7861
2480,7859
2480,7872
2480,7866
2480,7885
3503,8028
1160,4501
1127,4537
1128,7140
11,8048
11,3932
11,5332
11,5350
11,3181
11,5653
3569,8101
3569,8127
1127,8256
438,8579
25,532
14,83
78,1564
78,1562
78,1553
79,1549
145,1417
145,1418
204,1783
204,1781
176,1795
175,1679
175,1734
175,1756
533,2122
533,982
533,2179
500,2310
402,1648
402,985
402,2159
177,2803
177,2378
177,2121
177,2119
3,1211
830,3140
830,3135
1094,3436
765,3925
1424,4009
764,2606
1655,1194
1824,4431
1825,3862
368,5323
4,4487
1721,4462
996,5840
1787,5412
1259,1617
1259,3810
2381,5879
2714,937
1754,6831
2051,5086
1061,5655
439,1741
42,2555
42,3183
2480,7094
2480,7194
2480,7192
2480,5880
2480,5893
2480,5886
2150,5852
2217,7126
1425,5529
270,4515
438,5829
438,5284
401,2443
401,2516
31,7468
31,7469
31,4520
31,5809
1128,3799
1127,3930
43,1341
11,1631
11,3180
11,3201
2480,7170
2480,5884
2480,5890
11,1037
11,3860
11,6697
11,5657
11,5345
3404,7164
3404,7760
3404,6961
2480,1441
2480,5894
2480,7456
2480,7259
2480,7461
2480,7459
2480,5887
2480,7193
2480,1362
31,1138
270,1382
1490,4543
3140,8016
1788,4489
1128,7473
1128,3931
1128,4658
438,5346
1788,7132
1788,4490
32,6901
32,3145
2217,7127
2480,7459
2480,5877
2480,7864
31,4519
31,3703
3503,6472
2480,7857
2480,7894
3503,6928
1128,5847
1128,5844
3503,1340
11,6471
11,2450
11,4010
11,3764
11,7144
11,5517
270,8056
11,8047
7,252
2,1048
35,1077
35,1074
14,1260
14,1231
14,141
78,1551
139,1364
533,2160
533,1810
500,2215
500,2374
402,1706
402,1359
402,1516
177,2425
177,2442
177,2128
177,1766
177,2151
177,2156
10,1442
830,2910
1094,3434
765,2612
1491,3872
1492,3996
1492,4033
1655,1746
1853,4360
2018,4915
2249,5273
1721,4458
1721,4455
1985,1441
1789,5422
2117,5302
2118,5416
1787,5483
2546,5862
2613,986
3140,7153
439,1020
439,5266
439,2128
439,1038
439,3136
42,2542
42,898
42,5861
2480,7170
2480,1352
2217,5414
2217,5417
270,6863
270,6833
270,2389
32,6900
1788,5971
401,2112
104,2568
104,2565
104,2569
1128,61
1127,7142
43,6903
43,5880
43,1256
11,5509
11,5345
11,3764
1127,3798
1127,4597
1128,4658
2480,1344
2480,7464
2480,5888
3404,6996
3404,6961
2480,7291
2480,7225
2480,7291
2480,1363
2480,7095
2480,5880
2480,7226
2480,7192
2480,7786
1061,6891
1061,7662
31,5809
31,3159
31,3704
401,5837
3503,1176
1754,6831
1788,5854
1788,5855
1127,4537
1128,5847
1128,60
438,8029
3503,6472
3503,1176
3503,1177
1788,5820
32,1800
2480,1346
2480,5878
31,7471
31,1140
2480,7862
2480,7859
2480,7869
2480,7864
2480,7855
3503,4354
3503,8030
3503,1177
1788,4489
1128,4223
1128,5334
11,8046
11,7141
11,3210
11,3209
11,7522
11,8046
11,6895
11,1037
11,6471
11,3136
11,3926
11,2459
3569,8102
3569,8100
3569,8094
32,8086
2051,8910
25,534
2,1052
35,1079
78,1554
146,1167
149,1576
175,1753
36,1121
569,2101
403,2190
733,1656
500,2218
500,2507
402,934
402,911
402,2106
402,80
177,2453
177,2420
177,2424
177,1667
177,1673
177,2159
929,2937
929,2936
765,2611
1491,3871
1557,4016
1193,5084
368,5320
2249,5252
2216,5476
1789,4585
2117,5488
2118,5481
2678,972
2712,1020
2712,1019
2942,5827
2051,5088
1160,3193
439,2519
439,948
439,1174
439,3860
439,1631
439,4090
42,7000
2480,5888
2480,5890
270,1382
32,3150
2744,6874
2744,6868
104,7362
104,2556
31,4524
1128,7473
1128,3931
1127,7148
1127,4537
11,7138
11,2550
11,3860
11,3871
3372,7458
2480,7169
2480,1352
11,7144
11,3209
11,3929
11,3181
1127,5288
1128,7146
2480,7094
2480,7169
2480,1363
2480,7474
2480,7477
2480,5891
2480,5894
3437,7329
1061,3213
31,5812
31,3703
270,4514
401,5835
1788,6897
1788,4490
1127,3798
1127,4597
1128,7140
438,5828
2217,5415
2480,7457
2480,7865
31,5806
3503,1340
2480,7865
2480,7859
2480,7890
3503,6472
1160,3800
1788,5280
1127,5817
1127,4658
11,2539
11,3928
11,2542
11,5509
11,1631
11,5530
11,4156
11,3929
11,3927
3569,8096
3569,8095
1128,8314
438,8580
25,536
35,1078
14,560
78,1566
145,1416
204,1767
176,1659
176,1671
175,1681
175,1758
533,2320
533,939
533,2127
402,1416
402,932
402,1409
402,1301
402,2098
402,1282
402,2135
177,1798
177,1697
177,2158
177,2132
997,3239
1028,3299
830,2903
830,2908
1492,4002
1826,4288
1854,4387
897,1657
1193,5082
467,4655
1952,5328
2249,5249
2249,5245
2216,3705
4,5545
4,5291
1721,4884
996,5296
1789,5864
2117,5708
2117,5528
1259,1649
1259,4546
2381,5881
1490,5418
1490,4542
2051,7062
1160,6896
1160,5254
439,5050
439,1724
42,6899
42,2393
2480,7093
2480,7225
2480,5894
2217,6337
32,3958
1788,7132
438,6995
104,2562
104,2557
31,4526
43,1422
43,1359
11,3181
11,4157
11,5655
11,3796
11,5845
11,3210
11,4124
1128,4949
2480,7093
2480,5889
2480,5884
2480,7093
2480,5892
2480,5882
2480,7489
2480,5888
2480,7788
2480,7291
2480,7168
2480,7788
3437,7330
1061,5655
1061,3201
31,7469
31,5810
31,2409
31,1142
3503,6928
2909,6884
3140,8015
1127,5333
438,5829
3503,5248
1788,7133
1788,5281
1788,5292
1788,5280
1788,5971
32,2517
2217,8034
2217,5524
2480,7786
2480,1182
31,5810
31,3699
3503,1176
2480,7863
2480,7875
2480,7885
2480,7875
3503,1340
3503,8028
1160,3194
1788,7133
1788,5820
1788,5281
11,1629
11,3865
11,6889
11,3929
11,3828
11,5345
3668,8450
25,538
2,1049
176,1670
175,1680
175,1759
36,1583
437,2011
403,2181
403,2162
533,943
533,2130
732,1646
500,2312
8,2473
402,989
402,1281
177,1772
177,2154
1492,4058
1492,4055
1854,4364
1193,5085
1952,3931
2249,5256
2249,5274
2216,5490
4,1213
1721,5608
1721,4459
1391,4587
1391,4512
2117,1428
2118,5483
2118,5485
2118,5542
2843,6829
2876,1027
1490,5839
1490,4543
1160,3800
439,5522
42,3137
1358,3833
2480,7258
2480,7259
2480,1381
1425,3368
1425,5477
270,5544
32,7164
32,2444
401,5267
104,2573
31,5811
